tp,sl,max_hold,w1_sharpe,w1_n,w1_wr,w1_avg,w2_sharpe,w2_n,w2_wr,w2_avg,passed
0.12,0.03,24,5.6724969836224,1970,0.5147208121827411,0.018463975577240836,4.292600203061494,3632,0.4391519823788546,0.01571548863180422,False
0.12,0.03,36,5.211199279236393,1912,0.4764644351464435,0.0194082771914361,4.101050046802944,3588,0.403288740245262,0.015929966522617196,False
0.12,0.04,24,5.222539311991782,1934,0.5377456049638056,0.017838840131406915,3.9931877779064977,3527,0.4788772327757301,0.015502650785022472,False
0.12,0.04,36,4.706444748681959,1871,0.5077498663816141,0.018555760347614695,3.6945876184885336,3475,0.44115107913669066,0.01532213718964778,False
0.15,0.015,24,5.5565612672346685,2099,0.40543115769414007,0.016975781202296602,4.940969870000422,3935,0.33850063532401525,0.01736468391490015,False
0.15,0.015,36,5.002889699071725,2061,0.35177098495875786,0.01726092717921239,4.800447040543633,3913,0.3051367237413749,0.018009247499927137,False
0.15,0.02,24,5.690984744319681,2049,0.4538799414348463,0.01847097453668617,4.717363867380444,3793,0.377801212760348,0.01739967711462462,False
0.15,0.02,36,5.181978963480713,2004,0.40469061876247503,0.01916051051461634,4.6135997785774405,3763,0.3436088227478076,0.018240845108177306,False
0.15,0.03,24,5.657251486981534,1969,0.5124428643981717,0.01970656492096625,4.376845256900396,3610,0.4368421052631579,0.01737152825530536,False
0.15,0.03,36,5.158632843229345,1910,0.4712041884816754,0.020818154241883914,4.160787933546037,3561,0.39820275203594496,0.017789621531962153,False
0.15,0.04,24,5.255940849576172,1933,0.5354371443352303,0.019155863441816818,4.093245283435449,3502,0.4762992575671045,0.017081680643684833,False
0.15,0.04,36,4.703742226815437,1869,0.5024077046548957,0.02000034462819589,3.7707427503768183,3445,0.43570391872278663,0.017058910324924723,False
0.18,0.015,24,5.477269465614366,2099,0.40495474035254886,0.017474816346799225,4.924612049790474,3921,0.33843407294057637,0.018444471610253352,False
0.18,0.015,36,4.851093663493492,2059,0.34968431277319084,0.01756024489414674,4.767283400529795,3899,0.30443703513721465,0.019465579970176786,False
0.18,0.02,24,5.624950877028672,2049,0.45339189848706685,0.01914998934475846,4.726428690030296,3779,0.37761312516538764,0.01854257694033629,False
0.18,0.02,36,5.051494223515194,2002,0.4025974025974026,0.019630678403218756,4.597228610053457,3749,0.3427580688183516,0.019686868083101917,False
0.18,0.03,24,5.610842900496294,1969,0.5119349923819198,0.020470880030101453,4.4067538149283765,3594,0.4365609348914858,0.018471729043818046,False
0.18,0.03,36,5.061031793789957,1908,0.4690775681341719,0.0214790291131302,4.161601455532464,3545,0.3968970380818054,0.01905436901140757,False
0.18,0.04,24,5.236755665493877,1933,0.5349198137609933,0.019944759691111803,4.137018544080613,3486,0.4759036144578313,0.01812163476486514,False
0.18,0.04,36,4.6449890778048575,1867,0.5002678093197643,0.02072909410774004,3.793024508826898,3429,0.4342373869932925,0.018270266252599053,False
0.2,0.015,24,5.395100717759939,2099,0.4044783230109576,0.017499980548239553,4.909516363291507,3919,0.33809645317683085,0.01906375310315929,False
0.2,0.015,36,4.753641730797915,2059,0.348712967459932,0.017672996510368813,4.767028759314937,3897,0.3038234539389274,0.02045961880339545,False
0.2,0.02,24,5.5453684919799935,2049,0.45290385553928747,0.019229562499581805,4.719973584905417,3777,0.37728355837966643,0.019148839381269052,False
0.2,0.02,36,4.94297284953154,2002,0.4010989010989011,0.0197113414277124,4.598321643466452,3747,0.3418734987990392,0.02060741240792588,False
0.2,0.03,24,5.532617980810759,1969,0.5114271203656678,0.02055123244266753,4.413995684938674,3592,0.43624721603563477,0.019052262381834044,False
0.2,0.03,36,4.962785485626486,1908,0.46750524109014674,0.021586649412268028,4.1754094478793204,3543,0.39599209709285915,0.019885551712638717,False
0.2,0.04,24,5.169380356877482,1933,0.5344024831867563,0.020032577777961816,4.156684042257036,3484,0.4756027554535017,0.018718360080529593,False
0.2,0.04,36,4.562428202693611,1867,0.4986609534011784,0.02085514634703033,3.8219397341006744,3427,0.4333236066530493,0.019084066917174437,False
