symbol,bb_period,bb_std,adx_ceil,rsi_floor,rsi_ceil,tp,sl,max_hold,bb_exit_mid,avg_oos,total_n,passed,F1_sharpe,F1_wr,F1_n,F1_mdd,F1_avg,F2_sharpe,F2_wr,F2_n,F2_mdd,F2_avg
KRW-BTC,20,2.0,15,20,45,0.015,0.008,24,False,-36.76383818162029,70,False,-43.76840483594173,0.2413793103448276,29,-0.11170266555656455,-0.004360151835808596,-29.759271527298836,0.34146341463414637,41,-0.1468192083524682,-0.002724500898465036
KRW-BTC,20,2.0,15,20,45,0.015,0.01,12,True,-56.436808094501195,71,False,-50.680802510356116,0.36666666666666664,30,-0.11928126310754925,-0.004572633248155562,-62.192813678646274,0.3170731707317073,41,-0.1853119379804656,-0.004496162178207855
KRW-BTC,20,2.0,15,20,45,0.015,0.01,12,False,-50.66956345795743,71,False,-54.39038663849246,0.26666666666666666,30,-0.13814924052454272,-0.005285297004689065,-46.9487402774224,0.2926829268292683,41,-0.18341445188167227,-0.004122632139134508
KRW-BTC,20,2.0,15,20,45,0.015,0.01,24,True,-53.148185977152096,71,False,-52.32217153888576,0.4,30,-0.12643326281599657,-0.004841288580404531,-53.97420041541844,0.36585365853658536,41,-0.1735370031636847,-0.004144738174146301
KRW-BTC,20,2.0,15,20,45,0.015,0.01,24,False,-32.51574527890995,70,False,-34.92570139432166,0.3103448275862069,29,-0.10501856732462936,-0.004153565628912056,-30.105789163498223,0.36585365853658536,41,-0.1604779599326439,-0.003106995336817196
KRW-BTC,20,2.0,15,20,45,0.015,0.015,12,True,-55.37966576952621,69,False,-56.05723527481092,0.3793103448275862,29,-0.15220332129158504,-0.006193288744226425,-54.70209626424151,0.375,40,-0.19930990304796037,-0.005025805261092862
KRW-BTC,20,2.0,15,20,45,0.015,0.015,12,False,-47.69107056228934,69,False,-58.55563824191655,0.27586206896551724,29,-0.16750645084944044,-0.006811568222279265,-36.82650288266214,0.35,40,-0.18279639253545515,-0.004184552385589032
KRW-BTC,20,2.0,15,20,45,0.015,0.015,24,True,-49.35291087823944,69,False,-55.87459528698068,0.4482758620689655,29,-0.16100491682605964,-0.006544178180866305,-42.831226469498205,0.475,40,-0.18682394537875488,-0.004220083270851108
KRW-BTC,20,2.0,15,20,45,0.015,0.015,24,False,-30.064886077178578,68,False,-40.908563412191825,0.35714285714285715,28,-0.1381906414257854,-0.0057993760892303525,-19.221208742165334,0.475,40,-0.15130884523225446,-0.0024919333673581955
KRW-BTC,20,2.0,15,20,45,0.02,0.008,12,True,-47.925195965444814,71,False,-36.054331109981895,0.36666666666666664,30,-0.08535499274114157,-0.003250852319379849,-59.79606082090773,0.3170731707317073,41,-0.16203167157074228,-0.0038169226227270903
KRW-BTC,20,2.0,15,20,45,0.02,0.008,12,False,-42.47355714259875,71,False,-33.440544465255776,0.26666666666666666,30,-0.0924540668182941,-0.003497549409246675,-51.50656981994173,0.2682926829268293,41,-0.15699136150220033,-0.003941177815637787
KRW-BTC,20,2.0,15,20,45,0.02,0.008,24,True,-45.870948554296604,71,False,-39.77773226925849,0.36666666666666664,30,-0.09622586015236906,-0.0036468136629253397,-51.96416483933471,0.34146341463414637,41,-0.15060280273760807,-0.003485862214319165
KRW-BTC,20,2.0,15,20,45,0.02,0.008,24,False,-40.09825737760574,69,False,-30.06875827228127,0.2413793103448276,29,-0.09026301295913836,-0.003524566293699609,-50.12775648293022,0.275,40,-0.17507217875774295,-0.004183180098758791
KRW-BTC,20,2.0,15,20,45,0.02,0.01,12,True,-52.632876850478574,71,False,-43.072940022310874,0.36666666666666664,30,-0.1105828592172524,-0.004239799914822221,-62.192813678646274,0.3170731707317073,41,-0.1853119379804656,-0.004496162178207855
KRW-BTC,20,2.0,15,20,45,0.02,0.01,12,False,-47.99765364145634,71,False,-41.117423842527685,0.26666666666666666,30,-0.1210410621060891,-0.00461963033802238,-54.87788344038499,0.2682926829268293,41,-0.18206405263882708,-0.004589393045560719
KRW-BTC,20,2.0,15,20,45,0.02,0.01,24,True,-49.38361664170927,71,False,-44.7930328680001,0.4,30,-0.11780549553132832,-0.0045084552470711905,-53.97420041541844,0.36585365853658536,41,-0.1735370031636847,-0.004144738174146301
KRW-BTC,20,2.0,15,20,45,0.02,0.01,24,False,-36.28287122024362,69,False,-26.785361204017242,0.3103448275862069,29,-0.09867522758725684,-0.003558777253367021,-45.78038123647001,0.3,40,-0.18756587293834354,-0.004550274398069758
KRW-BTC,20,2.0,15,20,45,0.02,0.015,12,True,-55.69209607764516,69,False,-56.68209589104881,0.3793103448275862,29,-0.1538357557127118,-0.006259406476317941,-54.70209626424151,0.375,40,-0.19930990304796037,-0.005025805261092862
KRW-BTC,20,2.0,15,20,45,0.02,0.015,12,False,-46.24844161455029,69,False,-51.26811483751996,0.27586206896551724,29,-0.15814285984352167,-0.006419196580669445,-41.22876839158062,0.325,40,-0.17943081552881507,-0.004600607911172301
KRW-BTC,20,2.0,15,20,45,0.02,0.015,24,True,-49.65233022227268,69,False,-56.47343397504715,0.4482758620689655,29,-0.16262040375509054,-0.00661029591295782,-42.831226469498205,0.475,40,-0.18682394537875488,-0.004220083270851108
KRW-BTC,20,2.0,15,20,45,0.02,0.015,24,False,-30.9998427422052,67,False,-33.48513335646583,0.35714285714285715,28,-0.12352307489416996,-0.005183345271701565,-28.51455212794457,0.41025641025641024,39,-0.16491901340408166,-0.0037672261255847937
KRW-BTC,20,2.0,15,20,45,0.025,0.008,12,True,-51.04212098692008,71,False,-42.288181152932445,0.36666666666666664,30,-0.0926306192085908,-0.0035213193064387045,-59.79606082090773,0.3170731707317073,41,-0.16203167157074228,-0.0038169226227270903
KRW-BTC,20,2.0,15,20,45,0.025,0.008,12,False,-39.097896932016454,71,False,-26.243955775728548,0.26666666666666666,30,-0.08033992326362284,-0.0030461343056817965,-51.951838088304356,0.2682926829268293,41,-0.1574161012200668,-0.003953693518200185
KRW-BTC,20,2.0,15,20,45,0.025,0.008,24,True,-49.089348630331784,71,False,-46.214532421328855,0.36666666666666664,30,-0.1034150133213983,-0.003917280649984195,-51.96416483933471,0.34146341463414637,41,-0.15060280273760807,-0.003485862214319165
KRW-BTC,20,2.0,15,20,45,0.025,0.008,24,False,-47.565489735265864,69,False,-19.601401389815805,0.2413793103448276,29,-0.06946857175887804,-0.002663790431630661,-75.52957808071592,0.25,40,-0.19771725620360855,-0.005102777310011937
KRW-BTC,20,2.0,15,20,45,0.025,0.01,12,True,-55.65516400320086,71,False,-49.117514327755444,0.36666666666666664,30,-0.11765780833819632,-0.004510266901881077,-62.192813678646274,0.3170731707317073,41,-0.1853119379804656,-0.004496162178207855
KRW-BTC,20,2.0,15,20,45,0.025,0.01,12,False,-44.50744012656165,71,False,-33.72913051965287,0.26666666666666666,30,-0.10930850470816372,-0.004168215234457501,-55.28574973347042,0.2682926829268293,41,-0.18247615978417528,-0.0046019087481231164
KRW-BTC,20,2.0,15,20,45,0.025,0.01,24,True,-52.37680675405568,71,False,-50.77941309269293,0.4,30,-0.12482299153820695,-0.004778922234130046,-53.97420041541844,0.36585365853658536,41,-0.1735370031636847,-0.004144738174146301
KRW-BTC,20,2.0,15,20,45,0.025,0.01,24,False,-37.86085285042229,69,False,-18.163977317267726,0.3103448275862069,29,-0.0853553709625809,-0.002713332886286591,-57.55772838357686,0.3,40,-0.19765537394169946,-0.005086673348399915
KRW-BTC,20,2.0,15,20,45,0.025,0.015,12,True,-56.50195123282862,69,False,-58.30180620141573,0.3793103448275862,29,-0.15560168378975944,-0.00633270050350463,-54.70209626424151,0.375,40,-0.19930990304796037,-0.005025805261092862
KRW-BTC,20,2.0,15,20,45,0.025,0.015,12,False,-42.20934056420859,69,False,-42.963536115434785,0.27586206896551724,29,-0.1457018211096955,-0.0059027310634280775,-41.4551450129824,0.325,40,-0.17984424939886823,-0.004613436506298759
KRW-BTC,20,2.0,15,20,45,0.025,0.015,24,True,-50.39426484032225,69,False,-57.957303211146304,0.4482758620689655,29,-0.1643679984450567,-0.0066835899401445084,-42.831226469498205,0.475,40,-0.18682394537875488,-0.004220083270851108
KRW-BTC,20,2.0,15,20,45,0.025,0.015,24,False,-32.524369053681426,67,False,-25.247141955148436,0.35714285714285715,28,-0.10946547667977057,-0.004307706462939691,-39.801596152214415,0.38461538461538464,39,-0.18581250368558505,-0.004813896301577614
KRW-BTC,20,2.0,15,20,45,0.03,0.008,12,True,-51.04212098692008,71,False,-42.288181152932445,0.36666666666666664,30,-0.0926306192085908,-0.0035213193064387045,-59.79606082090773,0.3170731707317073,41,-0.16203167157074228,-0.0038169226227270903
KRW-BTC,20,2.0,15,20,45,0.03,0.008,12,False,-42.39085887489553,71,False,-32.82987966148669,0.26666666666666666,30,-0.09307696603623117,-0.0035180789586167827,-51.951838088304356,0.2682926829268293,41,-0.1574161012200668,-0.003953693518200185
KRW-BTC,20,2.0,15,20,45,0.03,0.008,24,True,-49.089348630331784,71,False,-46.214532421328855,0.36666666666666664,30,-0.1034150133213983,-0.003917280649984195,-51.96416483933471,0.34146341463414637,41,-0.15060280273760807,-0.003485862214319165
KRW-BTC,20,2.0,15,20,45,0.03,0.008,24,False,-49.530729101741755,69,False,-23.531880122767596,0.2413793103448276,29,-0.08033684464836809,-0.0031345770609760497,-75.52957808071592,0.25,40,-0.19771725620360855,-0.005102777310011937
KRW-BTC,20,2.0,15,20,45,0.03,0.01,12,True,-55.65516400320086,71,False,-49.117514327755444,0.36666666666666664,30,-0.11765780833819632,-0.004510266901881077,-62.192813678646274,0.3170731707317073,41,-0.1853119379804656,-0.004496162178207855
