symbol,bb_period,bb_std,adx_ceil,rsi_floor,rsi_ceil,tp,sl,max_hold,bb_exit_mid,avg_oos,total_n,passed,F1_sharpe,F1_wr,F1_n,F1_mdd,F1_avg,F2_sharpe,F2_wr,F2_n,F2_mdd,F2_avg
KRW-BTC,20,2.0,15,20,45,0.03,0.01,12,False,-47.865622275066855,71,False,-40.4454948166633,0.26666666666666666,30,-0.12164434048021333,-0.004640159887392487,-55.28574973347042,0.2682926829268293,41,-0.18247615978417528,-0.0046019087481231164
KRW-BTC,20,2.0,15,20,45,0.03,0.01,24,True,-52.37680675405568,71,False,-50.77941309269293,0.4,30,-0.12482299153820695,-0.004778922234130046,-53.97420041541844,0.36585365853658536,41,-0.1735370031636847,-0.004144738174146301
KRW-BTC,20,2.0,15,20,45,0.03,0.01,24,False,-39.61535021261072,69,False,-21.672972041644588,0.3103448275862069,29,-0.09157580044056686,-0.0031841195156319807,-57.55772838357686,0.3,40,-0.19765537394169946,-0.005086673348399915
KRW-BTC,20,2.0,15,20,45,0.03,0.015,12,True,-56.50195123282862,69,False,-58.30180620141573,0.3793103448275862,29,-0.15560168378975944,-0.00633270050350463,-54.70209626424151,0.375,40,-0.19930990304796037,-0.005025805261092862
KRW-BTC,20,2.0,15,20,45,0.03,0.015,12,False,-45.60494871095166,69,False,-49.75475240892092,0.27586206896551724,29,-0.1575336193146385,-0.0063909496699125455,-41.4551450129824,0.325,40,-0.17984424939886823,-0.004613436506298759
KRW-BTC,20,2.0,15,20,45,0.03,0.015,24,True,-50.39426484032225,69,False,-57.957303211146304,0.4482758620689655,29,-0.1643679984450567,-0.0066835899401445084,-42.831226469498205,0.475,40,-0.18682394537875488,-0.004220083270851108
KRW-BTC,20,2.0,15,20,45,0.03,0.015,24,False,-33.58753419204909,67,False,-28.567108396330376,0.35714285714285715,28,-0.11998899607188324,-0.004795306900475998,-38.6079599877678,0.38461538461538464,39,-0.18364883999334386,-0.004744157792826936
KRW-BTC,20,2.0,15,20,50,0.015,0.008,12,True,-51.86064248546255,71,False,-43.92522415001738,0.36666666666666664,30,-0.09430012244977205,-0.0035836856527131883,-59.79606082090773,0.3170731707317073,41,-0.16203167157074228,-0.0038169226227270903
KRW-BTC,20,2.0,15,20,50,0.015,0.008,12,False,-44.55627383980379,71,False,-46.753280417701255,0.26666666666666666,30,-0.11011866646957903,-0.004163216075913361,-42.35926726190632,0.2926829268292683,41,-0.1583831553594234,-0.003394685266580573
KRW-BTC,20,2.0,15,20,50,0.015,0.008,24,True,-49.93399702622763,71,False,-47.903829213120545,0.36666666666666664,30,-0.10506467394797611,-0.003979646996258679,-51.96416483933471,0.34146341463414637,41,-0.15060280273760807,-0.003485862214319165
KRW-BTC,20,2.0,15,20,50,0.015,0.008,24,False,-36.76383818162029,70,False,-43.76840483594173,0.2413793103448276,29,-0.11170266555656455,-0.004360151835808596,-29.759271527298836,0.34146341463414637,41,-0.1468192083524682,-0.002724500898465036
KRW-BTC,20,2.0,15,20,50,0.015,0.01,12,True,-56.436808094501195,71,False,-50.680802510356116,0.36666666666666664,30,-0.11928126310754925,-0.004572633248155562,-62.192813678646274,0.3170731707317073,41,-0.1853119379804656,-0.004496162178207855
KRW-BTC,20,2.0,15,20,50,0.015,0.01,12,False,-50.66956345795743,71,False,-54.39038663849246,0.26666666666666666,30,-0.13814924052454272,-0.005285297004689065,-46.9487402774224,0.2926829268292683,41,-0.18341445188167227,-0.004122632139134508
KRW-BTC,20,2.0,15,20,50,0.015,0.01,24,True,-53.148185977152096,71,False,-52.32217153888576,0.4,30,-0.12643326281599657,-0.004841288580404531,-53.97420041541844,0.36585365853658536,41,-0.1735370031636847,-0.004144738174146301
KRW-BTC,20,2.0,15,20,50,0.015,0.01,24,False,-32.51574527890995,70,False,-34.92570139432166,0.3103448275862069,29,-0.10501856732462936,-0.004153565628912056,-30.105789163498223,0.36585365853658536,41,-0.1604779599326439,-0.003106995336817196
KRW-BTC,20,2.0,15,20,50,0.015,0.015,12,True,-55.37966576952621,69,False,-56.05723527481092,0.3793103448275862,29,-0.15220332129158504,-0.006193288744226425,-54.70209626424151,0.375,40,-0.19930990304796037,-0.005025805261092862
KRW-BTC,20,2.0,15,20,50,0.015,0.015,12,False,-47.69107056228934,69,False,-58.55563824191655,0.27586206896551724,29,-0.16750645084944044,-0.006811568222279265,-36.82650288266214,0.35,40,-0.18279639253545515,-0.004184552385589032
KRW-BTC,20,2.0,15,20,50,0.015,0.015,24,True,-49.35291087823944,69,False,-55.87459528698068,0.4482758620689655,29,-0.16100491682605964,-0.006544178180866305,-42.831226469498205,0.475,40,-0.18682394537875488,-0.004220083270851108
