symbol,bb_period,bb_std,vol_mult,max_hold,bb_exit_mid,adx_ceil,rsi_floor,rsi_ceil,tp,sl,avg_oos,total_n,passed,F1_sharpe,F1_wr,F1_n,F1_mdd,F1_avg,F2_sharpe,F2_wr,F2_n,F2_mdd,F2_avg
KRW-BTC,20,2.0,1.2,18,True,20,20,40,0.05,0.02,-11.071080500995466,31,False,3.159378935784255,0.42857142857142855,7,-0.021470000000000013,0.002300962640019955,-25.301539937775186,0.2916666666666667,24,-0.255619427219338,-0.010331701845343573
KRW-BTC,20,2.0,1.2,18,True,20,20,45,0.02,0.01,-17.778727925129747,36,False,-7.077440817596538,0.3,10,-0.05612101026997641,-0.0024984999999999513,-28.480015032662955,0.19230769230769232,26,-0.1587649311439111,-0.006945228366531807
KRW-BTC,20,2.0,1.2,18,True,20,20,45,0.02,0.015,-14.63032929827455,35,False,3.5907528958052577,0.5555555555555556,9,-0.01647750000000015,0.0015276342090948735,-32.85141149235436,0.23076923076923078,26,-0.2153825700883573,-0.009850772561517868
KRW-BTC,20,2.0,1.2,18,True,20,20,45,0.02,0.02,-15.144317708899731,35,False,-1.4171972865028553,0.5555555555555556,9,-0.024793626952176812,-0.0006912546797939907,-28.871438131296607,0.3076923076923077,26,-0.24503840402790622,-0.010771328848362842
KRW-BTC,20,2.0,1.2,18,True,20,20,45,0.03,0.01,-14.783878757199643,36,False,-2.8544931484798974,0.3,10,-0.0561210102699763,-0.0011974683483437485,-26.71326436591939,0.19230769230769232,26,-0.1556094691036718,-0.006798294981454915
KRW-BTC,20,2.0,1.2,18,True,20,20,45,0.03,0.015,-12.138001992606132,35,False,7.07954531256598,0.5555555555555556,9,-0.016477500000000152,0.003483017399603319,-31.355549297778243,0.23076923076923078,26,-0.21243948009145144,-0.009703839176440975
KRW-BTC,20,2.0,1.2,18,True,20,20,45,0.03,0.02,-12.794504249437384,35,False,2.2900928171819044,0.5555555555555556,9,-0.021470000000000038,0.0012641285107144547,-27.879101316056673,0.3076923076923077,26,-0.24220655268679664,-0.010624395463285953
KRW-BTC,20,2.0,1.2,18,True,20,20,45,0.04,0.01,-13.350476944756187,36,False,0.012310476407016192,0.3,10,-0.056121010269976415,5.892279868772131e-06,-26.71326436591939,0.19230769230769232,26,-0.1556094691036718,-0.006798294981454915
KRW-BTC,20,2.0,1.2,18,True,20,20,45,0.04,0.015,-11.222866658670643,35,False,8.909815980436958,0.5555555555555556,9,-0.016477500000000186,0.004820084764283897,-31.355549297778243,0.23076923076923078,26,-0.21243948009145144,-0.009703839176440975
KRW-BTC,20,2.0,1.2,18,True,20,20,45,0.04,0.02,-11.76961169619576,35,False,4.339877923665151,0.5555555555555556,9,-0.02147000000000009,0.002601195875395033,-27.879101316056673,0.3076923076923077,26,-0.24220655268679664,-0.010624395463285953
KRW-BTC,20,2.0,1.2,18,True,20,20,45,0.05,0.01,-12.417238279358948,36,False,1.8787878072014923,0.3,10,-0.05612101026997621,0.0010043922798687837,-26.71326436591939,0.19230769230769232,26,-0.1556094691036718,-0.006798294981454915
KRW-BTC,20,2.0,1.2,18,True,20,20,45,0.05,0.015,-10.655750756892187,35,False,10.044047783993868,0.5555555555555556,9,-0.01647750000000007,0.005929529208728353,-31.355549297778243,0.23076923076923078,26,-0.21243948009145144,-0.009703839176440975
KRW-BTC,20,2.0,1.2,18,True,20,20,45,0.05,0.02,-11.07109615821884,35,False,5.7369089996189935,0.5555555555555556,9,-0.021470000000000034,0.0037106403198394894,-27.879101316056673,0.3076923076923077,26,-0.24220655268679664,-0.010624395463285953
KRW-BTC,20,2.0,1.2,18,True,20,25,40,0.02,0.01,-22.57141008180338,31,False,-11.980047815014117,0.25,8,-0.045154610977047795,-0.003996249999999943,-33.16277234859264,0.13043478260869565,23,-0.183145290328053,-0.007924855415379952
KRW-BTC,20,2.0,1.2,18,True,20,25,40,0.02,0.015,-20.469950299178706,30,False,-3.372550278800421,0.42857142857142855,7,-0.016477500000000134,-0.0014999999999999816,-37.567350319556994,0.17391304347826086,23,-0.23968759367546696,-0.010992318418407667
KRW-BTC,20,2.0,1.2,18,True,20,25,40,0.02,0.02,-20.206258734937663,30,False,-8.56346731148176,0.42857142857142855,7,-0.02810596503623785,-0.004352857142857092,-31.849050158393563,0.2608695652173913,23,-0.258401155051373,-0.011815882047015027
KRW-BTC,20,2.0,1.2,18,True,20,25,40,0.03,0.01,-15.4572346699028,31,False,-3.372550278800324,0.25,8,-0.045154610977047704,-0.0014999999999999384,-27.541919061005274,0.13043478260869565,23,-0.18008127870492172,-0.0074855939786581125
