bb_period,bb_std,entry_pct,tp,sl,max_hold,bb_exit_mid,slippage,passed,avg_sharpe,W1_sharpe,W1_n,W1_wr,W1_avg,W2_sharpe,W2_n,W2_wr,W2_avg
15,2.0,0.0,0.05,0.03,12,False,0.002,0,-9.625623741765203,-7.0856179670640165,70,0.35714285714285715,-0.006215515471347906,-12.165629516466389,81,0.2962962962962963,-0.010091351348839888
15,2.0,0.0,0.05,0.03,12,False,0.003,0,-13.342776938170076,-11.875531541270515,70,0.3142857142857143,-0.01010119849961221,-14.810022335069634,81,0.2962962962962963,-0.01192343528923146
15,2.0,0.0,0.05,0.03,12,True,0.001,0,-7.1334037555362055,-8.155626711544784,69,0.43478260869565216,-0.0062943398135936815,-6.111180799527626,82,0.4146341463414634,-0.004961841005309908
15,2.0,0.0,0.05,0.03,12,True,0.002,0,-9.519287282848406,-10.47709499858876,70,0.38571428571428573,-0.007995146354717752,-8.561479567108051,82,0.4146341463414634,-0.006759603216585081
15,2.0,0.0,0.05,0.03,12,True,0.003,0,-13.489674185646063,-16.617942831315656,70,0.34285714285714286,-0.012037718019104726,-10.361405539976468,82,0.4146341463414634,-0.00810107300231209
15,2.0,0.0,0.05,0.03,24,False,0.001,0,-6.909067253150319,-3.527406144989159,67,0.34328358208955223,-0.0034180014107273115,-10.290728361311478,78,0.2948717948717949,-0.009221358757708157
15,2.0,0.0,0.05,0.03,24,False,0.002,0,-8.25297037382939,-5.033540705756555,68,0.3382352941176471,-0.00485696785930117,-11.472400041902226,78,0.2948717948717949,-0.010264866763611113
15,2.0,0.0,0.05,0.03,24,False,0.003,0,-11.270482229871305,-8.860250736518573,68,0.3088235294117647,-0.008364777989885325,-13.68071372322404,78,0.2692307692307692,-0.012003624151487965
15,2.0,0.0,0.05,0.03,24,True,0.001,0,-7.343378867780168,-8.863669155413758,68,0.4264705882352941,-0.006870013645434539,-5.823088580146578,82,0.4268292682926829,-0.004738821798853307
15,2.0,0.0,0.05,0.03,24,True,0.002,0,-9.705563358896184,-11.151220936077268,69,0.37681159420289856,-0.008543230672955609,-8.2599057817151,82,0.4268292682926829,-0.006537029604617885
15,2.0,0.0,0.05,0.03,24,True,0.003,0,-13.709485831442425,-17.364440955047687,69,0.3333333333333333,-0.012600610050976766,-10.054530707837161,82,0.4146341463414634,-0.0078789440967536
15,2.0,0.0,0.05,0.03,48,False,0.001,0,-6.4148292457158265,-3.6962030215082424,66,0.3484848484848485,-0.003618030303030254,-9.13345546992341,78,0.2948717948717949,-0.008431772523172235
15,2.0,0.0,0.05,0.03,48,False,0.002,0,-7.698975747634259,-5.163085057100138,67,0.34328358208955223,-0.005030970149253693,-10.23486643816838,78,0.2948717948717949,-0.009437695459612016
