rs_lo,rs_hi,btc_acc,W1_sharpe,W1_n,W2_sharpe,W2_n,W2_wr
0.4,0.95,1.1,3.2263022025010124,77,8.219232212107622,176,0.45454545454545453
0.45,0.95,1.1,3.2263022025010124,77,8.219232212107622,176,0.45454545454545453
0.5,0.95,1.1,3.2263022025010124,77,8.219232212107622,176,0.45454545454545453
0.35,0.95,1.1,3.2263022025010124,77,8.219232212107622,176,0.45454545454545453
0.3,0.95,1.1,3.2263022025010124,77,8.219232212107622,176,0.45454545454545453
0.3,1.0,1.3,3.9031353833345186,199,8.093201383143535,319,0.4608150470219436
0.35,1.0,1.3,3.9031353833345186,199,8.093201383143535,319,0.4608150470219436
0.5,1.0,1.3,3.9031353833345186,199,8.093201383143535,319,0.4608150470219436
0.45,1.0,1.3,3.9031353833345186,199,8.093201383143535,319,0.4608150470219436
0.4,1.0,1.3,3.9031353833345186,199,8.093201383143535,319,0.4608150470219436
0.3,1.0,1.2,3.8492526836562018,216,7.903928997102127,326,0.4539877300613497
0.35,1.0,1.2,3.8492526836562018,216,7.903928997102127,326,0.4539877300613497
0.5,1.0,1.2,3.8492526836562018,216,7.903928997102127,326,0.4539877300613497
0.45,1.0,1.2,3.8492526836562018,216,7.903928997102127,326,0.4539877300613497
0.4,1.0,1.2,3.8492526836562018,216,7.903928997102127,326,0.4539877300613497
0.4,1.0,1.1,4.016710190455641,229,7.513440426619065,345,0.4405797101449275
0.35,1.0,1.1,4.016710190455641,229,7.513440426619065,345,0.4405797101449275
0.3,1.0,1.1,4.016710190455641,229,7.513440426619065,345,0.4405797101449275
0.5,1.0,1.1,4.016710190455641,229,7.513440426619065,345,0.4405797101449275
0.45,1.0,1.1,4.016710190455641,229,7.513440426619065,345,0.4405797101449275
0.4,1.0,1.0,3.7241605282066526,243,7.392501522414746,361,0.43490304709141275
0.5,1.0,1.0,3.7241605282066526,243,7.392501522414746,361,0.43490304709141275
0.3,1.0,1.0,3.7241605282066526,243,7.392501522414746,361,0.43490304709141275
0.35,1.0,1.0,3.7241605282066526,243,7.392501522414746,361,0.43490304709141275
0.45,1.0,1.0,3.7241605282066526,243,7.392501522414746,361,0.43490304709141275
0.5,0.9,1.5,5.051237472144822,9,7.0208024232751844,60,0.4
0.45,0.9,1.5,5.051237472144822,9,7.0208024232751844,60,0.4
0.4,0.9,1.5,5.051237472144822,9,7.0208024232751844,60,0.4
0.35,0.9,1.5,5.051237472144822,9,7.0208024232751844,60,0.4
0.3,0.9,1.5,5.051237472144822,9,7.0208024232751844,60,0.4
0.3,1.0,1.5,3.3392556347846485,151,6.776637421860941,263,0.4144486692015209
0.35,1.0,1.5,3.3392556347846485,151,6.776637421860941,263,0.4144486692015209
0.45,1.0,1.5,3.3392556347846485,151,6.776637421860941,263,0.4144486692015209
0.4,1.0,1.5,3.3392556347846485,151,6.776637421860941,263,0.4144486692015209
0.5,1.0,1.5,3.3392556347846485,151,6.776637421860941,263,0.4144486692015209
0.3,0.95,1.5,3.3816710345444907,49,5.025496668028192,136,0.34558823529411764
0.35,0.95,1.5,3.3816710345444907,49,5.025496668028192,136,0.34558823529411764
0.4,0.95,1.5,3.3816710345444907,49,5.025496668028192,136,0.34558823529411764
0.45,0.95,1.5,3.3816710345444907,49,5.025496668028192,136,0.34558823529411764
0.5,0.95,1.5,3.3816710345444907,49,5.025496668028192,136,0.34558823529411764
